id,text,english,chinese,label,lecture_theme,source,review_status
1,Jag är i affären.,I am in the shop.,我在商店里。,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
2,Jag köper mat.,I buy food.,我买食物。,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
3,Jag vill köpa mat.,I want to buy food.,我想买食物。,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
4,Han köper mat nu.,He buys food now.,他现在买食物。,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
5,Jag köpte mat igår.,I bought food yesterday.,我昨天买了食物。,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
6,Jag vill ha kaffe.,I want coffee.,我想要咖啡。,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
7,Jag dricker kaffe.,I drink coffee.,我喝咖啡。,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
8,Jag dricker vatten.,I drink water.,我喝水。,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
9,Jag vill ha en kanelbulle.,I want a cinnamon bun.,我想要一个肉桂卷。,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
10,Jag vill ha en semla.,I want a semla.,我想要一个 semla 甜点。,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
11,Jag vill ha en tomat.,I want a tomato.,我想要一个西红柿。,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
12,Jag vill ha tomater.,I want tomatoes.,我想要西红柿。,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
13,Jag vill ha ett äpple.,I want an apple.,我想要一个苹果。,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
14,Jag vill ha äpplen.,I want apples.,我想要苹果。,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
15,Jag vill ha ett päron.,I want a pear.,我想要一个梨。,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
16,Jag vill äta fisk.,I want to eat fish.,我想吃鱼。,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
17,Jag vill äta kyckling.,I want to eat chicken.,我想吃鸡肉。,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
18,Vill du äta fisk eller kyckling?,Do you want to eat fish or chicken?,你想吃鱼还是鸡肉？,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
19,Vad kostar kaffet?,What does the coffee cost?,咖啡多少钱？,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
20,Vad kostar äpplet?,What does the apple cost?,苹果多少钱？,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
21,Var är maten?,Where is the food?,食物在哪里？,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
22,Var är kaffet?,Where is the coffee?,咖啡在哪里？,food_shop,food_and_shop,lecture_aligned_ai_assisted,needs_manual_review
